[53.845063, -2.138933]
[53.221595, -3.069603]
[54.872435, -1.613661]

[51.556476, -3.018568]
[51.29724, 1.071743]
[50.859272, 0.580397]
[50.610433, -1.976503]

[54.687754, -1.228311]
[52.789045, -1.660735]
[51.584714, -2.099223]
[51.367878, -2.962259]
[52.334024, -2.042505]
[53.200845, -2.356328]
[51.478401, -2.559193]
[54.990482, -1.598505]
[53.814707, -2.984378]
[53.7083, -1.82788]
[51.598639, -0.665993]
[51.376498, 1.382883]
[51.486931, -0.095077]
[51.515735, -0.150955]
[51.651173, -0.028545]
[51.185925, 0.316733]
[51.31478, 0.860513]
[53.586012, -1.771006]
[52.51941, -0.243218]
[55.862046, -4.211946]
[51.504526, -0.085328]
[53.078242, -3.01223]
[52.568799, -1.798721]
[51.764215, -3.380894]
[50.787269, -0.692886]
[57.158122, -2.095877]
[54.865569, -1.578741]
[51.615937, -3.969198]

[51.551103, -0.446753]
[54.6044, -1.379624]
[51.377959, -2.358939]
[53.323051, -1.525889]
[51.571666, 0.593969]
[55.856101, -4.226983]
[53.34684, -1.405931]
[53.370766, -1.467527]
[51.022377, -0.355827]

[55.772674, -4.077297]
[51.718424, -0.07533]


[51.376699, 0.564239]


[52.499907, -1.889292]
[51.332125, -2.538321]
[51.333914, -1.766263]
[53.447431, -2.337136]
[50.913346, -1.484207]



[52.600497, -2.032073]

[53.823362, -1.583923]
[51.571188, 0.274016]
[51.440599, 0.257832]
[52.954771, -1.47926]
[51.494531, -0.210888]
[51.454516, -0.141901]
[53.470074, -2.570238]
[51.644354, -3.036833]
[51.48758, -3.238719]
[51.532171, -0.477009]
[55.042943, -1.445413]
[51.158179, -0.968842]
[51.441817, -0.012539]
[51.560954, 0.652262]
[51.507051, -0.472526]
[54.604577, -1.595534]
[51.358584, -0.155627]
[54.555571, -6.037029]
[51.403632, -2.364325]
[53.57716, -2.131794]


[52.265366, 0.186652]
[51.55778, -0.192601]
[53.435692, -1.46263]
[55.944008, -4.822717]
[51.471103, 0.023724]
[58.433637, -3.087084]
[51.459047, -0.361125]
[53.484633, -2.970864]
[54.966667, -1.583333]
[51.388303, 1.399308]
[51.427606, -0.556322]
[52.589803, -2.10882]
[53.456503, -2.32563]
[51.333914, -1.766263]
[51.392706, -0.313858]
[50.725622, -3.558916]
[53.806133, -2.223678]
[53.776422, -2.47866]
[51.624886, 0.001246]
[51.515674, 0.599413]
[54.6044, -1.379624]

[51.961799, -2.313503]


[51.54906, -1.726426]

[55.8623, -4.211572]

[53.484458, -2.298939]
[55.0231, -1.528545]
[50.931013, -1.44378]
[53.818678, -2.223091]
[51.761025, -0.467782]
[54.867273, -1.399476]
[53.531999, -2.229566]

[51.31478, 0.860513]
[49.428398, -2.538858]
[51.492614, 0.24949]
[52.623264, 1.245517]

[51.500886, -0.102779]
[53.640527, -1.330466]
[54.879684, -2.968917]
[52.633683, 1.264217]
[53.568599, -1.992946]
[53.826772, -1.595457]
[53.371308, -1.322275]

[53.468306, -2.085561]
[53.599099, -2.175491]
[50.889241, -1.449833]

[54.668093, -1.244969]
[53.810894, -1.576298]
[52.597673, -1.130744]
[53.338351, -2.106868]
[50.370662, -4.141502]
[51.390909, -0.341623]

[51.595561, -0.001833]
[51.527405, -0.053614]

[53.465957, -1.323168]
[53.532493, -2.51898]
[50.794142, -0.696753]
[52.496038, -1.853369]
[53.819343, -1.622488]
[51.563561, -0.110016]
[51.333914, -1.766263]


[51.580462, 0.022521]

[52.015918, -0.336201]
[55.826638, -4.433231]
[51.257487, -0.001945]
[52.555493, -1.35743]
[53.91645, -3.040739]
[52.745566, -1.175341]
[53.848911, -1.647758]
[50.756757, -1.936766]
[51.297031, 1.072293]
[55.862141, -4.211455]



[52.558045, 0.861853]
[51.466048, -0.077485]
[53.33082, -2.217126]
[51.933637, -0.172107]
[51.695913, 0.412851]

[53.71712, -1.796348]

[57.068267, -2.486215]

[54.459907, -5.827347]
[51.682814, -4.123396]
[53.156918, -1.165393]
[53.376506, -2.574569]
[52.338817, -0.173912]
[50.916244, -3.480265]
[51.404739, -3.475738]
[51.463882, -3.272064]
[51.802767, -0.409555]
[51.333674, -1.766322]
[53.469663, -2.376162]

[53.411612, -2.928456]
[51.463864, -0.576909]
[52.401581, -1.486538]
[51.80192, 1.186439]
[51.528336, -0.127393]

[55.875309, -3.163927]

[51.271255, -0.635186]
[53.757244, -1.52149]
[51.487745, -0.062119]
[53.386594, -0.365246]
[49.238759, -2.204969]


[53.800776, -1.564983]
[51.475702, 0.319461]


[53.73785, -2.484486]
[52.67298, -1.16141]
[53.563175, -1.530542]
[53.497293, -0.981973]


[52.758386, -1.220176]
[51.878987, 0.936223]
[53.200805, -2.356387]
[51.519863, -0.134496]
[54.734617, -1.376698]



[55.812066, -4.250279]
[53.555261, -3.074762]
[52.22108, -0.284191]
[51.904194, -1.16489]
[51.216371, -2.98259]
[51.285965, -2.051283]

[52.925508, -1.49552]
[51.31478, 0.860513]
[51.397058, -0.290093]
[53.484465, -2.298928]

[51.132384, 0.84073]
[50.72223, -1.868338]
[53.229471, -0.555921]
[53.244161, -2.535878]
[55.862141, -4.211455]
[54.872057, -1.613138]
[53.800038, -1.563585]
[55.870105, -3.127912]
[52.946472, -1.144663]
[53.4697, -2.375864]
[52.292721, -1.957165]
[52.375591, -1.723848]
[52.324835, -0.617116]

[52.409343, -1.51]
[51.074757, -4.03558]
[51.517481, -0.182382]
[52.382592, -2.60596]
[51.499799, -3.21972]
[51.757627, -1.231374]
[52.979869, -1.455348]
[51.333674, -1.766322]
[49.431048, -2.556547]
[51.654001, -0.165829]
[51.527352, -0.053615]
[51.759744, -0.233254]
[52.145661, -0.472539]
[53.393965, -2.245043]
[55.134198, -1.570223]

[50.942645, -1.437247]
[53.708055, -1.656567]
[53.079851, -2.22955]
[51.840615, -0.188393]
[52.889783, -1.257653]
[52.501786, -1.423606]

[52.401526, -1.935493]
[54.995041, -1.506169]

[56.089365, -3.926909]
[52.754318, -1.204154]
[53.392195, -2.935763]

[53.780455, -0.300897]


[53.772663, -1.775724]
[51.400413, -3.26693]
[51.362099, -0.125351]
[55.964795, -3.17527]
[53.595252, -0.651338]
[53.623747, -2.650722]
[51.550741, -0.303214]
[56.370128, -3.97757]

[54.106354, -0.181839]
[53.216741, -3.21992]
[52.503151, -2.060927]
[53.019053, -2.188233]
[53.992212, -1.055622]
[51.333674, -1.766322]
[52.292618, -1.957087]
[49.476983, -2.578344]
[56.129871, -3.302133]
[53.478169, -2.356821]

[53.58017, -2.461322]
[53.487688, -2.34748]
[55.080058, -3.487655]
[51.672946, -0.403836]
[53.48448, -2.298904]
[52.131329, 1.419432]
[53.173655, -2.821349]
[55.678939, -3.7719]
[52.439361, -1.824602]

[55.873911, -3.11955]
[54.893513, -2.924768]
[51.574187, 0.19351]
[55.862141, -4.211455]
[52.824009, -1.427479]
[51.454657, -0.071816]
[55.026412, -7.312314]
[53.744907, -1.529416]
[55.771524, -4.18506]
[50.922746, -1.395303]
[51.534563, 0.19814]
[54.96184, -1.45202]
[51.832256, -2.194279]
[50.892739, -1.020101]
[52.300477, -0.541066]
[52.924248, 1.302058]
[55.93548, -3.195652]
[52.752388, -0.971842]
[53.39428, -2.197219]
[52.243232, 0.081924]
[51.711787, 0.410941]
[51.999416, -0.98713]
[54.3657, -4.450666]
[56.341674, -2.796476]
[54.316756, -2.741887]
[53.313831, -4.636012]
[51.552153, -0.258791]

[51.333674, -1.766322]
[56.168229, -3.035636]
[51.496055, -0.437755]



[51.665761, -3.951986]
[52.966174, -2.682124]

[55.003981, -1.577848]
[53.491034, -1.15575]
[51.172149, -1.761613]
[50.794186, -0.69667]

[50.994976, -0.074568]
[51.486279, -3.705027]
[51.605915, -0.016682]



