[ 51.886995, 0.890343 ]
[ 53.153145, -1.173692 ]
[ 51.386429, 0.000522 ]
[ 51.121221, -1.326666 ]
[ 50.952649, -2.674987 ]
[ 57.281345, -2.379918 ]
[ 51.213663, -1.495778 ]
[ 51.258171, -0.843546 ]
[ 52.962067, -1.161928 ]
[ 50.754651, -1.874225 ]
[ 51.437738, 0.098107 ]
[ 51.497633, -0.124927 ]
[ 53.195134, -2.441058 ]
[ 52.9691, -2.166434 ]
[ 54.978, -1.615 ]
[ 54.996113, -5.991324 ]
[ 53.790666, -2.749787 ]
[ 51.638633, -0.090327 ]
[ 51.508232, -0.128523 ]
[ 55.950539, -3.205956 ]
[ 51.544135, -0.180625 ]
[ 56.057286, -3.296037 ]
[ 55.92422, -3.238384 ]
[ 55.610924, -4.616709 ]
[ 53.003659, -1.129809 ]
[ 53.551062, -1.346877 ]
[ 53.426675, -1.492658 ]
[ 53.426741, -1.492755 ]
[ 52.558668, -0.2578 ]
[ 51.52971, -0.129773 ]
[ 53.158511, -1.141971 ]
[ 54.550369, -5.892204 ]
[ 51.516062, -0.144602 ]
[ 53.641058, -2.495904 ]
[ 51.531815, -0.036912 ]
[ 52.39485, -1.239297 ]
[ 53.569888, -2.882135 ]
[ 54.573112, -5.915524 ]
[ 51.417266, -0.068437 ]
[ 54.576336, -1.336896 ]
[ 51.653484, -3.988745 ]
[ 52.459337, -1.978968 ]
[ 51.450868, -0.474356 ]
[ 56.106531, -3.161134 ]
[ 51.654648, -0.378056 ]
[ 56.479062, -2.954757 ]
[ 53.447255, -2.328482 ]
[ 51.262704, -0.454284 ]
[ 53.762173, -2.683665 ]
[ 51.943149, -0.253787 ]
[ 53.923939, -0.284966 ]
[ 53.096263, -2.99274 ]
[ 53.489219, -2.222891 ]
[ 50.807905, -0.395264 ]
[ 52.792268, -1.624671 ]
[ 53.484446, -2.298935 ]
[ 51.858077, -4.326477 ]
[ 53.346448, -1.481562 ]
[ 51.884801, -0.538988 ]
[ 53.705542, -1.271064 ]
[ 52.630573, -1.972422 ]
[ 51.513905, -0.116887 ]
[ 52.33615, -0.652327 ]
[ 51.512315, -2.592764 ]
[ 51.516789, -0.131035 ]
[ 50.902775, -3.490788 ]
[ 51.604633, 0.529601 ]
[ 56.078081, -3.39731 ]
[ 53.481158, -1.605192 ]
[ 52.218692, -0.906819 ]
[ 51.423535, -0.487457 ]
[ 51.477265, -2.707066 ]
[ 51.51846, -0.07356 ]
[ 51.589966, -3.233215 ]
[ 50.903421, -1.397306 ]
[ 51.367601, -0.491269 ]
[ 51.556757, 0.006066 ]
[ 52.591983, -2.126502 ]
[ 51.248434, 0.552446 ]
[ 53.553483, -1.48278 ]
[ 51.45199, -2.608578 ]
[ 53.821807, -1.564845 ]
[ 51.474883, 0.02037 ]
[ 51.05919, -3.110812 ]
[ 51.797802, -3.228334 ]
[ 53.569335, -2.45714 ]
[ 56.411447, -3.472922 ]
[ 53.684885, -0.948798 ]
[ 56.458268, -2.984526 ]
[ 50.810459, 0.28969 ]
[ 52.240336, -0.85833 ]
[ 51.67772, -3.997227 ]
[ 53.051682, -2.972377 ]
[ 51.254456, -0.588265 ]
[ 51.518305, 0.018173 ]
[ 52.149215, -3.404044 ]
[ 53.061696, -3.002268 ]
[ 50.916259, -3.480269 ]
[ 51.516777, -0.089826 ]
[ 53.508782, -2.08614 ]
[ 54.804252, -1.567886 ]
[ 52.64488, 1.334912 ]
[ 51.414469, -0.812785 ]
[ 53.735511, -1.881967 ]
[ 51.505742, -0.53267 ]
[ 52.921679, -1.217253 ]
[ 53.524537, -2.172324 ]
[ 50.868425, -2.118291 ]
[ 50.855234, -0.857641 ]
[ 53.484446, -2.298935 ]
[ 51.323013, -0.506433 ]
[ 52.89793, -1.46633 ]
[ 50.944326, -1.488512 ]
[ 51.551576, -0.240387 ]
[ 53.482535, -2.217935 ]
[ 53.553477, -1.482798 ]
[ 51.381539, -2.38425 ]
[ 53.003676, -1.129946 ]
[ 51.759714, -0.235771 ]
[ 55.856067, -4.261512 ]
[ 54.593478, -5.817611 ]
[ 53.300594, -2.371833 ]
[ 52.46272, 0.618177 ]
[ 51.516773, -0.080852 ]
[ 55.929562, -4.316363 ]
[ 54.975443, -1.381644 ]
[ 53.158675, -1.141314 ]
[ 52.958514, -1.155753 ]
[ 51.65252, -0.202048 ]
[ 52.050029, 1.174018 ]
[ 51.532222, -0.156667 ]
[ 50.915386, -1.406319 ]
[ 52.368758, -1.450785 ]
[ 53.478049, -2.247613 ]
[ 50.822145, -0.612605 ]
[ 51.900972, 0.864905 ]
[ 53.533714, -1.36013 ]
[ 51.047692, 0.412873 ]
[ 53.458886, -2.948728 ]
[ 53.800122, -1.898552 ]
[ 54.709865, -1.251502 ]
[ 50.807837, 0.305759 ]
[ 51.538654, 0.71528 ]
[ 51.130943, -0.153854 ]
[ 53.403743, -2.966127 ]
[ 51.42471, -0.928688 ]
[ 53.27848, -1.257956 ]
[ 53.322468, -1.122278 ]
[ 51.05919, -3.110812 ]
[ 52.445646, 0.63984 ]
[ 51.818761, 0.745251 ]
[ 53.412918, -2.934008 ]
[ 51.203936, -2.199032 ]
[ 53.679854, -1.70956 ]
[ 51.748052, -1.241411 ]
[ 53.036821, -0.467222 ]
[ 52.717138, -1.503803 ]
